,name,pathscplex,flatintvarscplex,flatintconstraintscplex,flattimecplex,time,comtime
0,benchmark_puzzles/benchmarks3x3/10/puzzle16.txt,0.0,117.0,62.0,0.0957589,0.0003,0.09605889999999999
1,benchmark_puzzles/benchmarks3x3/15/puzzle5.txt,0.0,207.0,190.0,0.10121000000000001,0.0003,0.10151
2,benchmark_puzzles/benchmarks3x3/15/puzzle6.txt,0.0,135.0,93.0,0.10516199999999999,0.0003,0.10546199999999999
3,benchmark_puzzles/benchmarks3x3/15/puzzle8.txt,0.0,117.0,62.0,0.100496,0.00020000000000000004,0.10069600000000001
4,benchmark_puzzles/benchmarks3x3/15/puzzle16.txt,0.0,117.0,62.0,0.0997454,0.000275,0.1000204
5,benchmark_puzzles/benchmarks3x3/15/puzzle17.txt,0.0,135.0,90.0,0.100413,0.0003,0.100713
6,benchmark_puzzles/benchmarks3x3/20/puzzle4.txt,0.0,117.0,62.0,0.0973,0.00020000000000000004,0.0975
7,benchmark_puzzles/benchmarks3x3/20/puzzle5.txt,0.0,207.0,190.0,0.106195,0.000325,0.10652
8,benchmark_puzzles/benchmarks3x3/20/puzzle6.txt,0.0,198.0,161.0,0.10459,0.0003,0.10489
9,benchmark_puzzles/benchmarks3x3/20/puzzle8.txt,0.0,117.0,62.0,0.102877,0.00020000000000000004,0.103077
10,benchmark_puzzles/benchmarks3x3/20/puzzle9.txt,0.0,135.0,84.0,0.100833,0.000325,0.10115800000000001
11,benchmark_puzzles/benchmarks3x3/20/puzzle10.txt,0.0,117.0,62.0,0.102332,0.00020000000000000004,0.10253200000000001
12,benchmark_puzzles/benchmarks3x3/20/puzzle11.txt,0.0,144.0,95.0,0.101043,0.0003,0.10134299999999999
13,benchmark_puzzles/benchmarks3x3/20/puzzle12.txt,0.0,117.0,62.0,0.10513399999999999,0.00020000000000000004,0.105334
14,benchmark_puzzles/benchmarks3x3/20/puzzle13.txt,0.0,297.0,270.0,0.104124,0.002825,0.10694899999999999
15,benchmark_puzzles/benchmarks3x3/20/puzzle14.txt,0.0,189.0,168.0,0.10405199999999999,0.0003,0.10435199999999999
16,benchmark_puzzles/benchmarks3x3/20/puzzle15.txt,0.0,117.0,62.0,0.10270499999999999,0.0003,0.10300499999999999
17,benchmark_puzzles/benchmarks3x3/20/puzzle16.txt,0.0,117.0,62.0,0.100918,0.000225,0.101143
18,benchmark_puzzles/benchmarks3x3/20/puzzle17.txt,0.0,135.0,93.0,0.100887,0.0003,0.101187
19,benchmark_puzzles/benchmarks3x3/20/puzzle18.txt,0.0,243.0,222.0,0.10525799999999999,0.0003,0.10555799999999999
20,benchmark_puzzles/benchmarks3x3/20/puzzle19.txt,0.0,117.0,62.0,0.10381099999999999,0.0003,0.10411099999999998
21,benchmark_puzzles/benchmarks3x3/25/puzzle1.txt,0.0,135.0,93.0,0.0982818,0.000275,0.0985568
22,benchmark_puzzles/benchmarks3x3/25/puzzle3.txt,0.0,279.0,224.0,0.108786,0.0007750000000000001,0.10956099999999999
23,benchmark_puzzles/benchmarks3x3/25/puzzle4.txt,0.0,117.0,62.0,0.101724,0.0003,0.10202399999999999
24,benchmark_puzzles/benchmarks3x3/25/puzzle5.txt,0.0,207.0,190.0,0.10313699999999999,0.0003,0.10343699999999999
25,benchmark_puzzles/benchmarks3x3/25/puzzle6.txt,0.0,243.0,207.0,0.108751,0.000275,0.109026
26,benchmark_puzzles/benchmarks3x3/25/puzzle7.txt,0.0,117.0,62.0,0.0990187,0.000275,0.0992937
27,benchmark_puzzles/benchmarks3x3/25/puzzle8.txt,0.0,252.0,218.0,0.108497,0.00065,0.109147
28,benchmark_puzzles/benchmarks3x3/25/puzzle9.txt,0.0,234.0,214.0,0.102702,0.000625,0.103327
29,benchmark_puzzles/benchmarks3x3/25/puzzle10.txt,0.0,306.0,257.0,0.107899,0.00075,0.108649
30,benchmark_puzzles/benchmarks3x3/25/puzzle11.txt,0.0,144.0,95.0,0.100599,0.0003,0.10089899999999999
31,benchmark_puzzles/benchmarks3x3/25/puzzle12.txt,0.0,189.0,141.0,0.10091699999999999,0.0006000000000000001,0.101517
32,benchmark_puzzles/benchmarks3x3/25/puzzle13.txt,0.0,351.0,303.0,0.105495,0.0008250000000000003,0.10632000000000001
33,benchmark_puzzles/benchmarks3x3/25/puzzle14.txt,0.0,243.0,216.0,0.10357100000000001,0.0006249999999999999,0.10419600000000001
34,benchmark_puzzles/benchmarks3x3/25/puzzle15.txt,0.0,180.0,139.0,0.104414,0.000325,0.10473900000000001
35,benchmark_puzzles/benchmarks3x3/25/puzzle16.txt,0.0,207.0,190.0,0.105157,0.000325,0.105482
36,benchmark_puzzles/benchmarks3x3/25/puzzle17.txt,0.0,189.0,132.0,0.10504400000000001,0.0003,0.10534400000000001
37,benchmark_puzzles/benchmarks3x3/25/puzzle18.txt,0.0,351.0,294.0,0.10640699999999999,0.000825,0.107232
38,benchmark_puzzles/benchmarks3x3/25/puzzle19.txt,0.0,117.0,62.0,0.10194500000000001,0.0003,0.102245
39,benchmark_puzzles/benchmarks3x3/25/puzzle20.txt,0.0,153.0,97.0,0.10311,0.00025,0.10336
40,benchmark_puzzles/benchmarks3x3/30/puzzle1.txt,0.0,162.0,126.0,0.107707,0.00025,0.107957
41,benchmark_puzzles/benchmarks3x3/30/puzzle3.txt,0.0,297.0,237.0,0.10955799999999999,0.0007250000000000001,0.11028299999999999
42,benchmark_puzzles/benchmarks3x3/30/puzzle4.txt,0.0,162.0,108.0,0.10456199999999999,0.0003,0.10486199999999998
