name,time,algo
benchmark_puzzles/benchmarks3x3/0/puzzle14.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle14.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle14.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle15.txt,0.0002,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle15.txt,0.0002,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle15.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle15.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle15.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle15.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle16.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle16.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle16.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle16.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle16.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle16.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle17.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle17.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle17.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle17.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle17.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle17.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle18.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle18.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle18.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle18.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle18.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle18.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle19.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle19.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle19.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle19.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle19.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle19.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle20.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle20.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle20.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle20.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle20.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/0/puzzle20.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/5/puzzle1.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/5/puzzle1.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/5/puzzle1.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/5/puzzle1.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/5/puzzle1.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/5/puzzle1.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/5/puzzle2.txt,0.0002,cplex
benchmark_puzzles/benchmarks3x3/5/puzzle2.txt,0.0002,cplex
benchmark_puzzles/benchmarks3x3/5/puzzle2.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/5/puzzle2.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/5/puzzle2.txt,0.0002,cplex
benchmark_puzzles/benchmarks3x3/5/puzzle2.txt,0.0002,cplex
benchmark_puzzles/benchmarks3x3/5/puzzle3.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/5/puzzle3.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/5/puzzle3.txt,0.0003,cplex
benchmark_puzzles/benchmarks3x3/5/puzzle3.txt,0.0003,cplex
