name,pathscplex,flatintvarscplex,flatintconstraintscplex,flattimecplex
benchmark_puzzles/benchmarks3x3/10/puzzle16.txt,0.0,117.0,62.0,0.0957589
benchmark_puzzles/benchmarks3x3/15/puzzle5.txt,0.0,207.0,190.0,0.10121
benchmark_puzzles/benchmarks3x3/15/puzzle6.txt,0.0,135.0,93.0,0.105162
benchmark_puzzles/benchmarks3x3/15/puzzle8.txt,0.0,117.0,62.0,0.100496
benchmark_puzzles/benchmarks3x3/15/puzzle16.txt,0.0,117.0,62.0,0.0997454
benchmark_puzzles/benchmarks3x3/15/puzzle17.txt,0.0,135.0,90.0,0.100413
benchmark_puzzles/benchmarks3x3/20/puzzle4.txt,0.0,117.0,62.0,0.0973
benchmark_puzzles/benchmarks3x3/20/puzzle5.txt,0.0,207.0,190.0,0.106195
benchmark_puzzles/benchmarks3x3/20/puzzle6.txt,0.0,198.0,161.0,0.10459
benchmark_puzzles/benchmarks3x3/20/puzzle8.txt,0.0,117.0,62.0,0.102877
benchmark_puzzles/benchmarks3x3/20/puzzle9.txt,0.0,135.0,84.0,0.100833
benchmark_puzzles/benchmarks3x3/20/puzzle10.txt,0.0,117.0,62.0,0.102332
benchmark_puzzles/benchmarks3x3/20/puzzle11.txt,0.0,144.0,95.0,0.101043
benchmark_puzzles/benchmarks3x3/20/puzzle12.txt,0.0,117.0,62.0,0.105134
benchmark_puzzles/benchmarks3x3/20/puzzle13.txt,0.0,297.0,270.0,0.104124
benchmark_puzzles/benchmarks3x3/20/puzzle14.txt,0.0,189.0,168.0,0.104052
benchmark_puzzles/benchmarks3x3/20/puzzle15.txt,0.0,117.0,62.0,0.102705
benchmark_puzzles/benchmarks3x3/20/puzzle16.txt,0.0,117.0,62.0,0.100918
benchmark_puzzles/benchmarks3x3/20/puzzle17.txt,0.0,135.0,93.0,0.100887
benchmark_puzzles/benchmarks3x3/20/puzzle18.txt,0.0,243.0,222.0,0.105258
benchmark_puzzles/benchmarks3x3/20/puzzle19.txt,0.0,117.0,62.0,0.103811
benchmark_puzzles/benchmarks3x3/25/puzzle1.txt,0.0,135.0,93.0,0.0982818
benchmark_puzzles/benchmarks3x3/25/puzzle3.txt,0.0,279.0,224.0,0.108786
benchmark_puzzles/benchmarks3x3/25/puzzle4.txt,0.0,117.0,62.0,0.101724
benchmark_puzzles/benchmarks3x3/25/puzzle5.txt,0.0,207.0,190.0,0.103137
benchmark_puzzles/benchmarks3x3/25/puzzle6.txt,0.0,243.0,207.0,0.108751
benchmark_puzzles/benchmarks3x3/25/puzzle7.txt,0.0,117.0,62.0,0.0990187
benchmark_puzzles/benchmarks3x3/25/puzzle8.txt,0.0,252.0,218.0,0.108497
benchmark_puzzles/benchmarks3x3/25/puzzle9.txt,0.0,234.0,214.0,0.102702
benchmark_puzzles/benchmarks3x3/25/puzzle10.txt,0.0,306.0,257.0,0.107899
benchmark_puzzles/benchmarks3x3/25/puzzle11.txt,0.0,144.0,95.0,0.100599
benchmark_puzzles/benchmarks3x3/25/puzzle12.txt,0.0,189.0,141.0,0.100917
benchmark_puzzles/benchmarks3x3/25/puzzle13.txt,0.0,351.0,303.0,0.105495
benchmark_puzzles/benchmarks3x3/25/puzzle14.txt,0.0,243.0,216.0,0.103571
benchmark_puzzles/benchmarks3x3/25/puzzle15.txt,0.0,180.0,139.0,0.104414
benchmark_puzzles/benchmarks3x3/25/puzzle16.txt,0.0,207.0,190.0,0.105157
benchmark_puzzles/benchmarks3x3/25/puzzle17.txt,0.0,189.0,132.0,0.105044
benchmark_puzzles/benchmarks3x3/25/puzzle18.txt,0.0,351.0,294.0,0.106407
benchmark_puzzles/benchmarks3x3/25/puzzle19.txt,0.0,117.0,62.0,0.101945
benchmark_puzzles/benchmarks3x3/25/puzzle20.txt,0.0,153.0,97.0,0.10311
benchmark_puzzles/benchmarks3x3/30/puzzle1.txt,0.0,162.0,126.0,0.107707
benchmark_puzzles/benchmarks3x3/30/puzzle3.txt,0.0,297.0,237.0,0.109558
benchmark_puzzles/benchmarks3x3/30/puzzle4.txt,0.0,162.0,108.0,0.104562
benchmark_puzzles/benchmarks3x3/30/puzzle5.txt,0.0,270.0,249.0,0.102884
benchmark_puzzles/benchmarks3x3/30/puzzle6.txt,0.0,306.0,266.0,0.107963
benchmark_puzzles/benchmarks3x3/30/puzzle7.txt,0.0,189.0,159.0,0.103249
benchmark_puzzles/benchmarks3x3/30/puzzle8.txt,0.0,351.0,294.0,0.106677
