name,time,algo
benchmark_puzzles/benchmarks3x3/0/puzzle1.txt,0.000627,SA
benchmark_puzzles/benchmarks3x3/0/puzzle2.txt,0.000342,SA
benchmark_puzzles/benchmarks3x3/0/puzzle3.txt,0.000456,SA
benchmark_puzzles/benchmarks3x3/0/puzzle4.txt,0.000581,SA
benchmark_puzzles/benchmarks3x3/0/puzzle5.txt,0.000466,SA
benchmark_puzzles/benchmarks3x3/0/puzzle6.txt,0.000481,SA
benchmark_puzzles/benchmarks3x3/0/puzzle7.txt,0.000719,SA
benchmark_puzzles/benchmarks3x3/0/puzzle8.txt,0.000699,SA
benchmark_puzzles/benchmarks3x3/0/puzzle9.txt,0.000534,SA
benchmark_puzzles/benchmarks3x3/0/puzzle10.txt,0.000488,SA
benchmark_puzzles/benchmarks3x3/0/puzzle11.txt,0.000501,SA
benchmark_puzzles/benchmarks3x3/0/puzzle12.txt,0.000623,SA
benchmark_puzzles/benchmarks3x3/0/puzzle13.txt,0.000497,SA
benchmark_puzzles/benchmarks3x3/0/puzzle14.txt,0.000582,SA
benchmark_puzzles/benchmarks3x3/0/puzzle15.txt,0.000772,SA
benchmark_puzzles/benchmarks3x3/0/puzzle16.txt,0.000597,SA
benchmark_puzzles/benchmarks3x3/0/puzzle17.txt,0.0004,SA
benchmark_puzzles/benchmarks3x3/0/puzzle18.txt,0.000409,SA
benchmark_puzzles/benchmarks3x3/0/puzzle19.txt,0.000437,SA
benchmark_puzzles/benchmarks3x3/0/puzzle20.txt,0.000472,SA
benchmark_puzzles/benchmarks3x3/5/puzzle1.txt,0.00043,SA
benchmark_puzzles/benchmarks3x3/5/puzzle2.txt,0.000563,SA
benchmark_puzzles/benchmarks3x3/5/puzzle3.txt,0.00113,SA
benchmark_puzzles/benchmarks3x3/5/puzzle4.txt,0.000604,SA
benchmark_puzzles/benchmarks3x3/5/puzzle5.txt,0.001232,SA
benchmark_puzzles/benchmarks3x3/5/puzzle6.txt,0.000614,SA
benchmark_puzzles/benchmarks3x3/5/puzzle7.txt,0.001097,SA
benchmark_puzzles/benchmarks3x3/5/puzzle8.txt,0.001118,SA
benchmark_puzzles/benchmarks3x3/5/puzzle9.txt,0.000549,SA
benchmark_puzzles/benchmarks3x3/5/puzzle10.txt,0.00047,SA
benchmark_puzzles/benchmarks3x3/5/puzzle11.txt,0.000573,SA
benchmark_puzzles/benchmarks3x3/5/puzzle12.txt,0.000443,SA
benchmark_puzzles/benchmarks3x3/5/puzzle13.txt,0.001052,SA
benchmark_puzzles/benchmarks3x3/5/puzzle14.txt,0.000947,SA
benchmark_puzzles/benchmarks3x3/5/puzzle15.txt,0.00117,SA
benchmark_puzzles/benchmarks3x3/5/puzzle16.txt,0.001266,SA
benchmark_puzzles/benchmarks3x3/5/puzzle17.txt,0.00057,SA
benchmark_puzzles/benchmarks3x3/5/puzzle18.txt,0.00114,SA
