,name,pathsgurobi,flatintvarsgurobi,flatintconstraintsgurobi,flattimegurobi,time,comtime
41,benchmark_puzzles/benchmarks3x3/30/puzzle3.txt,0.0,297.0,237.0,0.115625,0.0010538461538461543,0.11667884615384616
42,benchmark_puzzles/benchmarks3x3/30/puzzle4.txt,0.0,162.0,108.0,0.133974,0.00023846153846153828,0.13421246153846156
43,benchmark_puzzles/benchmarks3x3/30/puzzle5.txt,0.0,270.0,249.0,0.11572,0.00029230769230769224,0.11601230769230769
44,benchmark_puzzles/benchmarks3x3/30/puzzle6.txt,0.0,306.0,266.0,0.12170999999999998,0.001107692307692308,0.1228176923076923
45,benchmark_puzzles/benchmarks3x3/30/puzzle7.txt,0.0,189.0,159.0,0.110419,0.000823076923076923,0.11124207692307693
46,benchmark_puzzles/benchmarks3x3/30/puzzle8.txt,0.0,351.0,294.0,0.119621,0.0011538461538461535,0.12077484615384616
47,benchmark_puzzles/benchmarks3x3/30/puzzle9.txt,0.0,297.0,264.0,0.115971,0.00033076923076923084,0.11630176923076924
48,benchmark_puzzles/benchmarks3x3/30/puzzle10.txt,0.0,351.0,285.0,0.116194,0.0011461538461538462,0.11734015384615386
49,benchmark_puzzles/benchmarks3x3/30/puzzle11.txt,0.0,162.0,108.0,0.104749,0.0002,0.104949
50,benchmark_puzzles/benchmarks3x3/30/puzzle12.txt,0.0,261.0,211.0,0.11126400000000002,0.00030769230769230765,0.11157169230769233
51,benchmark_puzzles/benchmarks3x3/30/puzzle13.txt,0.0,387.0,311.0,0.123619,0.0012,0.12481900000000001
52,benchmark_puzzles/benchmarks3x3/30/puzzle14.txt,0.0,243.0,216.0,0.108181,0.0009384615384615383,0.10911946153846154
53,benchmark_puzzles/benchmarks3x3/30/puzzle15.txt,0.0,198.0,152.0,0.10889700000000001,0.00023076923076923066,0.10912776923076924
54,benchmark_puzzles/benchmarks3x3/30/puzzle16.txt,0.0,306.0,266.0,0.115156,0.0010461538461538466,0.11620215384615384
55,benchmark_puzzles/benchmarks3x3/30/puzzle17.txt,0.0,261.0,220.0,0.1181,0.00096923076923077,0.11906923076923076
56,benchmark_puzzles/benchmarks3x3/30/puzzle18.txt,0.0,396.0,313.0,0.12556199999999998,0.0013538461538461536,0.12691584615384613
